"","Koordinationsudvalget (Regeringens faste udvalg)","Ministerudvalg for ungdomsuddannelser  (Midlertidigt regeringsudvalg)","Ministerudvalg om integrationsreform  (Midlertidigt regeringsudvalg)","Ministerudvalget for ny erhvervs- og vækstpolitik  (Midlertidigt regeringsudvalg)","Ministerudvalget for Rio+20-topmødet (Midlertidigt regeringsudvalg) ","Ministerudvalget for videregående uddannelser  (Midlertidigt regeringsudvalg)","Sikkerhedsudvalget (Regeringens faste udvalg)","Udnævnelses- og organisationsudvalget (Regeringens faste udvalg)","Økonomiudvalget (Regeringens faste udvalg)"
"Astrid Krag",0,0,0,1,0,0,0,0,0
"Bjarne Corydon",1,1,1,1,0,1,0,1,1
"Carsten Hansen",0,0,1,1,0,0,0,0,0
"Christian Friis Bach",0,0,0,0,1,0,0,0,0
"Christine Antorini",0,1,1,0,0,1,0,0,0
"Helle Thorning-Schmidt",1,0,0,0,0,0,1,1,0
"Ida Auken",0,0,0,1,1,0,0,0,0
"Karen Hækkerup",0,1,1,0,0,0,0,0,0
"Manu Sareen",0,0,1,0,0,0,0,0,0
"Margrethe Vestager",1,1,0,1,0,1,1,1,1
"Martin Lidegaard",0,0,0,1,1,0,0,0,0
"Mette Frederiksen",0,1,1,1,0,1,0,0,1
"Mette Gjerskov",0,0,0,1,0,0,0,0,0
"Morten Bødskov",1,0,1,0,0,0,1,0,0
"Morten Østergaard",1,1,1,1,0,1,0,0,1
"Nick Hækkerup",0,0,0,0,0,0,1,0,0
"Ole Sohn",0,1,1,1,0,1,0,0,1
"Pia Olsen Dyhr",0,0,0,1,0,0,0,0,0
"Thor Möger Pedersen",1,0,0,1,0,0,0,0,1
"Uffe Elbæk",0,0,0,1,0,0,0,0,0
"Villy Søvndal",1,0,0,0,1,0,1,1,0
